customer_id,customer_type,province,city,urban_rural_flag,store_size,monthly_patient_volume,average_order_frequency_days,service_level_target,credit_tier,b2b_registered,active_status
CUST_00041,independent_pharmacy,Jiangsu,Nanjing,urban,medium,262,29,0.9,C,True,active
CUST_00042,independent_pharmacy,Jiangsu,Suzhou,rural,small,20845,8,0.915,B,True,active
CUST_00043,independent_pharmacy,Zhejiang,Hangzhou,rural,small,194,20,0.9,C,True,inactive
CUST_00044,independent_pharmacy,Henan,Luoyang,urban,medium,4775,28,0.926,C,True,active
CUST_00045,chain_pharmacy,Sichuan,Chengdu,rural,medium,2056,14,0.911,A,True,active
CUST_00046,primary_healthcare,Sichuan,Deyang,urban,medium,25632,6,0.942,A,True,active
CUST_00047,primary_healthcare,Zhejiang,Ningbo,urban,small,4916,4,0.975,A,True,active
CUST_00048,chain_pharmacy,Shandong,Jinan,urban,small,4212,17,0.976,B,True,active
CUST_00049,independent_pharmacy,Shandong,Qingdao,urban,small,192,17,0.934,B,True,active
CUST_00050,independent_pharmacy,Shandong,Jinan,rural,large,706,23,0.938,C,True,active
CUST_00051,chain_pharmacy,Hubei,Yichang,urban,small,807,6,0.964,C,True,active
CUST_00052,independent_pharmacy,Guangdong,Dongguan,urban,small,388,28,0.922,B,True,active
CUST_00053,primary_healthcare,Guangdong,Dongguan,urban,medium,7183,5,0.959,A,True,active
CUST_00054,public_hospital,Guangdong,Dongguan,urban,small,5163,8,0.994,B,True,active
CUST_00055,primary_healthcare,Henan,Zhengzhou,urban,small,5282,13,0.992,C,True,active
CUST_00056,independent_pharmacy,Shandong,Yantai,urban,medium,3271,7,0.952,B,True,active
CUST_00057,independent_pharmacy,Guangdong,Dongguan,rural,large,168,29,0.92,C,True,active
CUST_00058,independent_pharmacy,Jiangsu,Suzhou,urban,medium,3592,27,0.954,C,True,active
CUST_00059,chain_pharmacy,Hubei,Yichang,urban,small,6461,12,0.922,D,True,active
CUST_00060,independent_pharmacy,Zhejiang,Ningbo,urban,small,284,29,0.921,C,True,active
CUST_00061,independent_pharmacy,Shandong,Qingdao,urban,small,233,24,0.908,B,True,active
CUST_00062,independent_pharmacy,Zhejiang,Wenzhou,urban,medium,8258,21,0.979,A,True,active
CUST_00063,chain_pharmacy,Henan,Luoyang,urban,medium,1277,11,0.962,B,True,active
CUST_00064,chain_pharmacy,Zhejiang,Wenzhou,urban,medium,1885,22,0.904,B,True,active
CUST_00065,chain_pharmacy,Shandong,Jinan,urban,medium,2858,4,0.965,B,True,active
CUST_00066,primary_healthcare,Zhejiang,Hangzhou,urban,medium,21217,5,0.951,B,True,active
CUST_00067,independent_pharmacy,Zhejiang,Wenzhou,urban,medium,192,12,0.932,C,True,active
CUST_00068,chain_pharmacy,Shandong,Qingdao,urban,small,605,20,0.992,B,True,active
CUST_00069,chain_pharmacy,Sichuan,Chengdu,urban,medium,1493,11,0.923,A,True,active
CUST_00070,independent_pharmacy,Zhejiang,Wenzhou,rural,small,1981,23,0.904,C,True,active
CUST_00071,primary_healthcare,Sichuan,Chengdu,urban,small,409,8,0.935,B,True,active
CUST_00072,independent_pharmacy,Zhejiang,Wenzhou,urban,small,215,26,0.916,C,True,active
CUST_00073,independent_pharmacy,Jiangsu,Wuxi,urban,large,9823,11,0.967,B,True,active
CUST_00074,independent_pharmacy,Sichuan,Mianyang,rural,small,210,10,0.907,C,True,active
CUST_00075,independent_pharmacy,Sichuan,Deyang,urban,medium,5197,15,0.942,C,True,inactive
CUST_00076,independent_pharmacy,Sichuan,Mianyang,rural,small,257,18,0.955,C,True,active
CUST_00077,independent_pharmacy,Zhejiang,Ningbo,urban,medium,2937,25,0.98,C,True,active
CUST_00078,public_hospital,Henan,Kaifeng,rural,medium,24742,13,0.985,B,True,active
CUST_00079,public_hospital,Henan,Kaifeng,urban,small,432,9,0.931,C,True,active
CUST_00080,independent_pharmacy,Jiangsu,Nanjing,rural,medium,660,26,0.915,B,True,active
CUST_00081,primary_healthcare,Hubei,Xiangyang,rural,medium,4705,8,0.946,B,True,active
CUST_00082,public_hospital,Zhejiang,Wenzhou,urban,small,204,5,0.952,B,True,active
CUST_00083,independent_pharmacy,Zhejiang,Ningbo,urban,medium,4191,11,0.963,B,True,active
CUST_00084,primary_healthcare,Shandong,Qingdao,rural,small,621,4,0.961,B,True,active
CUST_00085,independent_pharmacy,Shandong,Qingdao,urban,small,2455,12,0.988,A,True,active
CUST_00086,clinic,Guangdong,Dongguan,rural,small,3184,25,0.96,C,True,active
CUST_00087,independent_pharmacy,Guangdong,Guangzhou,urban,small,878,25,0.957,C,True,active
CUST_00088,independent_pharmacy,Shandong,Yantai,urban,small,176,25,0.907,C,True,active
CUST_00089,independent_pharmacy,Guangdong,Shenzhen,urban,medium,593,15,0.913,C,True,active
CUST_00090,public_hospital,Hubei,Yichang,urban,large,19697,4,0.992,A,True,active
CUST_00091,clinic,Zhejiang,Ningbo,urban,small,3253,23,0.951,A,True,active
CUST_00092,public_hospital,Jiangsu,Nanjing,urban,small,450,6,0.934,B,True,active
CUST_00093,primary_healthcare,Guangdong,Guangzhou,urban,small,687,23,0.912,C,True,active
CUST_00094,primary_healthcare,Henan,Zhengzhou,rural,small,5102,16,0.985,C,True,active
CUST_00095,chain_pharmacy,Zhejiang,Ningbo,urban,small,204,23,0.919,B,True,active
CUST_00096,public_hospital,Hubei,Yichang,urban,small,9333,4,0.966,A,True,active
CUST_00097,primary_healthcare,Hubei,Yichang,urban,small,193,12,0.977,D,True,active
CUST_00098,primary_healthcare,Zhejiang,Hangzhou,urban,small,293,16,0.945,C,True,active
CUST_00099,independent_pharmacy,Zhejiang,Hangzhou,urban,small,1139,23,0.902,D,True,active
CUST_00100,primary_healthcare,Zhejiang,Wenzhou,rural,medium,6021,14,0.973,B,True,active
CUST_00101,independent_pharmacy,Hubei,Wuhan,rural,small,206,26,0.902,C,True,active
CUST_00102,independent_pharmacy,Sichuan,Chengdu,urban,small,178,22,0.902,C,True,inactive
CUST_00103,clinic,Zhejiang,Hangzhou,urban,small,459,5,0.975,B,True,active
CUST_00104,independent_pharmacy,Zhejiang,Ningbo,urban,small,1423,22,0.917,B,True,active
CUST_00105,primary_healthcare,Sichuan,Chengdu,urban,medium,7103,5,0.966,A,True,active
CUST_00106,primary_healthcare,Hubei,Wuhan,urban,medium,14098,4,0.995,B,True,active
CUST_00107,primary_healthcare,Henan,Luoyang,urban,medium,2529,7,0.979,B,True,active
CUST_00108,chain_pharmacy,Jiangsu,Nanjing,rural,small,3092,25,0.969,B,True,active
CUST_00109,independent_pharmacy,Shandong,Jinan,urban,medium,824,6,0.928,B,True,inactive
CUST_00110,public_hospital,Zhejiang,Ningbo,urban,large,533,4,0.984,B,True,active
CUST_00111,independent_pharmacy,Guangdong,Guangzhou,urban,medium,168,22,0.929,C,True,active
CUST_00112,independent_pharmacy,Guangdong,Guangzhou,rural,small,366,28,0.902,C,True,active
CUST_00113,chain_pharmacy,Shandong,Qingdao,urban,medium,910,5,0.944,B,True,active
CUST_00114,independent_pharmacy,Zhejiang,Ningbo,rural,medium,10727,16,0.906,B,True,active
CUST_00115,independent_pharmacy,Shandong,Jinan,urban,small,865,15,0.906,B,True,active
CUST_00116,primary_healthcare,Henan,Kaifeng,urban,small,8499,17,0.967,B,True,active
CUST_00117,independent_pharmacy,Zhejiang,Wenzhou,rural,medium,691,17,0.901,B,True,active
CUST_00118,primary_healthcare,Sichuan,Mianyang,urban,medium,2476,7,0.923,B,True,active
CUST_00119,independent_pharmacy,Zhejiang,Wenzhou,urban,medium,1300,18,0.911,C,True,active
CUST_00120,clinic,Guangdong,Dongguan,rural,medium,2023,11,0.954,C,True,active
CUST_00121,clinic,Sichuan,Deyang,urban,medium,16339,6,0.992,C,True,active
CUST_00122,independent_pharmacy,Jiangsu,Nanjing,urban,small,929,24,0.938,B,True,active
CUST_00123,public_hospital,Guangdong,Guangzhou,urban,medium,6047,5,0.974,A,True,active
CUST_00124,chain_pharmacy,Guangdong,Dongguan,urban,medium,3983,16,0.986,B,True,active
CUST_00125,independent_pharmacy,Henan,Kaifeng,urban,medium,3555,19,0.962,A,True,active
CUST_00126,independent_pharmacy,Jiangsu,Nanjing,urban,small,164,19,0.91,B,True,active
CUST_00127,primary_healthcare,Henan,Luoyang,urban,medium,14369,5,0.977,A,True,active
CUST_00128,chain_pharmacy,Zhejiang,Wenzhou,rural,small,1792,22,0.91,B,True,active
CUST_00129,primary_healthcare,Hubei,Yichang,urban,medium,988,10,0.939,C,True,active
CUST_00130,independent_pharmacy,Henan,Zhengzhou,urban,small,164,26,0.921,C,True,active
CUST_00131,independent_pharmacy,Henan,Kaifeng,urban,small,244,17,0.901,C,True,active
CUST_00132,independent_pharmacy,Zhejiang,Ningbo,urban,large,4368,16,0.953,A,True,active
CUST_00133,chain_pharmacy,Zhejiang,Wenzhou,urban,medium,3250,23,0.917,C,True,active
CUST_00134,primary_healthcare,Sichuan,Mianyang,urban,medium,5616,5,0.993,B,True,active
CUST_00135,independent_pharmacy,Shandong,Yantai,urban,medium,215,9,0.968,B,True,active
CUST_00136,primary_healthcare,Hubei,Yichang,urban,medium,2361,6,0.977,A,True,active
CUST_00137,primary_healthcare,Henan,Kaifeng,urban,medium,9274,11,0.98,A,True,active
CUST_00138,independent_pharmacy,Guangdong,Shenzhen,urban,small,469,14,0.949,C,True,active
CUST_00139,independent_pharmacy,Zhejiang,Ningbo,urban,medium,213,29,0.91,C,True,active
CUST_00140,independent_pharmacy,Zhejiang,Ningbo,urban,small,1197,13,0.938,C,True,active
CUST_00141,independent_pharmacy,Henan,Luoyang,urban,medium,736,7,0.948,B,True,active
CUST_00142,chain_pharmacy,Hubei,Wuhan,rural,medium,6742,9,0.9,C,True,active
CUST_00143,primary_healthcare,Guangdong,Dongguan,urban,small,4295,4,0.97,D,True,active
CUST_00144,independent_pharmacy,Shandong,Qingdao,urban,medium,3938,22,0.936,C,True,inactive
CUST_00145,independent_pharmacy,Sichuan,Chengdu,urban,small,5105,19,0.905,C,True,active
CUST_00146,chain_pharmacy,Zhejiang,Hangzhou,urban,small,185,10,0.912,B,True,active
CUST_00147,primary_healthcare,Zhejiang,Hangzhou,urban,small,169,13,0.921,B,True,active
CUST_00148,independent_pharmacy,Jiangsu,Suzhou,urban,small,806,18,0.953,B,True,active
CUST_00149,primary_healthcare,Henan,Zhengzhou,rural,medium,16149,4,0.995,B,True,active
CUST_00150,independent_pharmacy,Guangdong,Guangzhou,urban,medium,1253,9,0.941,B,True,active
CUST_00151,clinic,Hubei,Yichang,rural,small,1650,15,0.931,C,True,active
CUST_00152,independent_pharmacy,Shandong,Qingdao,urban,small,163,27,0.902,C,True,active
CUST_00153,independent_pharmacy,Zhejiang,Wenzhou,urban,medium,2488,8,0.953,B,True,active
CUST_00154,public_hospital,Guangdong,Dongguan,rural,large,11097,4,0.991,A,True,active
CUST_00155,public_hospital,Sichuan,Chengdu,urban,medium,19952,6,0.972,B,True,active
CUST_00156,chain_pharmacy,Zhejiang,Ningbo,urban,small,799,15,0.983,C,True,inactive
CUST_00157,independent_pharmacy,Guangdong,Guangzhou,rural,large,7452,10,0.971,B,True,active
CUST_00158,primary_healthcare,Zhejiang,Ningbo,urban,small,15108,5,0.982,B,True,active
CUST_00159,independent_pharmacy,Guangdong,Shenzhen,urban,large,1256,19,0.97,A,True,active
CUST_00160,independent_pharmacy,Shandong,Qingdao,rural,medium,1055,20,0.909,A,True,active
CUST_00161,independent_pharmacy,Guangdong,Dongguan,urban,small,389,12,0.919,B,True,active
CUST_00162,independent_pharmacy,Zhejiang,Ningbo,urban,small,4615,26,0.909,D,True,active
CUST_00163,chain_pharmacy,Jiangsu,Nanjing,urban,small,1802,13,0.942,B,True,active
CUST_00164,primary_healthcare,Zhejiang,Wenzhou,rural,large,2118,6,0.907,A,True,active
CUST_00165,independent_pharmacy,Shandong,Yantai,rural,medium,1840,19,0.919,C,True,inactive
CUST_00166,primary_healthcare,Henan,Luoyang,urban,medium,1773,15,0.94,B,True,active
CUST_00167,independent_pharmacy,Zhejiang,Ningbo,urban,large,2133,12,0.915,C,True,active
CUST_00168,public_hospital,Hubei,Wuhan,urban,medium,6121,10,0.983,C,True,active
CUST_00169,independent_pharmacy,Shandong,Jinan,urban,small,168,17,0.912,C,True,active
CUST_00170,primary_healthcare,Henan,Luoyang,urban,medium,3168,8,0.981,C,True,active
CUST_00171,independent_pharmacy,Guangdong,Guangzhou,urban,medium,192,25,0.921,C,True,active
CUST_00172,independent_pharmacy,Sichuan,Deyang,urban,medium,229,28,0.907,B,True,active
CUST_00173,chain_pharmacy,Henan,Kaifeng,rural,small,691,13,0.979,C,True,active
CUST_00174,primary_healthcare,Guangdong,Dongguan,rural,medium,8635,16,0.95,A,True,active
CUST_00175,clinic,Sichuan,Deyang,urban,medium,7529,10,0.937,C,True,active
CUST_00176,independent_pharmacy,Henan,Luoyang,urban,large,7534,19,0.909,B,True,active
CUST_00177,clinic,Zhejiang,Ningbo,rural,small,5155,8,0.972,A,True,active
CUST_00178,primary_healthcare,Shandong,Jinan,urban,small,2502,13,0.961,B,True,active
CUST_00179,primary_healthcare,Henan,Zhengzhou,urban,large,12827,6,0.961,B,True,active
CUST_00180,primary_healthcare,Shandong,Yantai,urban,medium,5507,10,0.957,C,True,active
CUST_00181,clinic,Hubei,Yichang,urban,medium,1205,14,0.975,C,True,active
CUST_00182,public_hospital,Zhejiang,Hangzhou,urban,medium,20502,4,0.978,B,True,inactive
CUST_00183,primary_healthcare,Jiangsu,Nanjing,urban,medium,2582,11,0.915,B,True,active
CUST_00184,independent_pharmacy,Jiangsu,Nanjing,urban,small,168,20,0.901,C,True,active
CUST_00185,independent_pharmacy,Guangdong,Dongguan,rural,medium,611,9,0.929,B,True,active
CUST_00186,chain_pharmacy,Sichuan,Chengdu,urban,small,453,8,0.913,B,True,active
CUST_00187,independent_pharmacy,Jiangsu,Wuxi,urban,small,998,21,0.943,C,True,active
CUST_00188,independent_pharmacy,Shandong,Qingdao,rural,medium,7215,17,0.933,A,True,active
CUST_00189,independent_pharmacy,Hubei,Xiangyang,urban,medium,1561,27,0.926,C,True,inactive
CUST_00190,primary_healthcare,Henan,Luoyang,urban,medium,12119,12,0.994,D,True,active
CUST_00191,independent_pharmacy,Zhejiang,Ningbo,urban,small,1651,17,0.941,B,True,active
CUST_00192,independent_pharmacy,Shandong,Qingdao,urban,medium,163,25,0.906,B,True,active
CUST_00193,primary_healthcare,Zhejiang,Hangzhou,urban,medium,6223,9,0.932,A,True,active
CUST_00194,independent_pharmacy,Zhejiang,Wenzhou,rural,medium,2293,6,0.909,B,True,active
CUST_00195,public_hospital,Zhejiang,Wenzhou,rural,medium,1579,9,0.935,B,True,active
CUST_00196,primary_healthcare,Henan,Zhengzhou,urban,large,9279,9,0.964,A,True,active
CUST_00197,independent_pharmacy,Jiangsu,Nanjing,urban,small,1240,25,0.926,C,True,active
CUST_00198,independent_pharmacy,Shandong,Yantai,rural,medium,249,7,0.946,B,True,active
CUST_00199,independent_pharmacy,Guangdong,Dongguan,urban,medium,13427,14,0.94,A,True,active
CUST_00200,chain_pharmacy,Zhejiang,Ningbo,urban,medium,2529,18,0.957,B,True,active
