customer_type,category,year_month,units,revenue
chain_pharmacy,Health_Supplements,2025-08,4142,184957
primary_healthcare,Health_Supplements,2025-02,5401,147410
chain_pharmacy,Health_Supplements,2025-09,4110,180360
primary_healthcare,Health_Supplements,2025-03,4760,153753
independent_pharmacy,Health_Supplements,2024-06,6391,275338
clinic,Western_Medicine,2024-06,5937,253285
primary_healthcare,Health_Supplements,2025-04,4688,152208
independent_pharmacy,Health_Supplements,2024-07,6780,292359
clinic,Western_Medicine,2024-07,6276,263738
primary_healthcare,Health_Supplements,2025-05,4702,157172
independent_pharmacy,Health_Supplements,2024-08,6709,292648
clinic,Western_Medicine,2024-08,6190,266847
independent_pharmacy,Medical_Devices,2025-10,23160,867054
primary_healthcare,Health_Supplements,2025-06,4609,147271
primary_healthcare,Medical_Devices,2025-01,21269,626500
independent_pharmacy,Health_Supplements,2024-09,6661,292201
clinic,Western_Medicine,2024-09,6075,263078
independent_pharmacy,Medical_Devices,2025-11,27357,933013
primary_healthcare,Health_Supplements,2025-07,4896,157973
primary_healthcare,Medical_Devices,2025-02,19046,555229
primary_healthcare,Health_Supplements,2025-08,4577,148285
primary_healthcare,Medical_Devices,2025-03,15832,435522
primary_healthcare,Health_Supplements,2025-09,4676,151247
primary_healthcare,Medical_Devices,2025-04,15856,453918
primary_healthcare,Medical_Devices,2025-05,16246,460828
public_hospital,Western_Medicine,2025-01,78270,3.33129e+06
primary_healthcare,Medical_Devices,2025-06,14459,415943
public_hospital,Western_Medicine,2025-02,69807,2.95804e+06
primary_healthcare,Medical_Devices,2025-07,14470,433592
public_hospital,Western_Medicine,2025-03,67543,2.89206e+06
primary_healthcare,Medical_Devices,2025-08,13725,406566
public_hospital,Western_Medicine,2025-04,67982,2.86194e+06
chain_pharmacy,Health_Supplements,2024-06,4101,179657
chain_pharmacy,Western_Medicine,2025-01,20491,869046
primary_healthcare,Medical_Devices,2025-09,13690,402597
public_hospital,Western_Medicine,2025-05,70288,2.97283e+06
chain_pharmacy,Western_Medicine,2025-02,18446,777565
chain_pharmacy,Health_Supplements,2024-07,4386,185246
public_hospital,Western_Medicine,2025-06,53302,2.39351e+06
chain_pharmacy,Western_Medicine,2025-03,17809,703327
chain_pharmacy,Health_Supplements,2024-08,4197,181251
public_hospital,Western_Medicine,2025-07,54131,2.46388e+06
chain_pharmacy,Western_Medicine,2025-04,17958,722626
chain_pharmacy,Health_Supplements,2024-09,3963,169228
public_hospital,TCM,2025-10,47736,1.80051e+06
public_hospital,Western_Medicine,2025-08,52415,2.40111e+06
chain_pharmacy,Western_Medicine,2025-05,18376,723884
public_hospital,TCM,2025-11,57187,2.46084e+06
clinic,Health_Supplements,2025-10,930,17831.3
public_hospital,Western_Medicine,2025-09,51665,2.38706e+06
chain_pharmacy,Western_Medicine,2025-06,14451,616184
clinic,Health_Supplements,2025-11,1110,16729.2
chain_pharmacy,Western_Medicine,2025-07,15034,624586
independent_pharmacy,Medical_Devices,2024-10,24347,903603
chain_pharmacy,Western_Medicine,2025-08,14841,621812
independent_pharmacy,Medical_Devices,2024-11,29575,1.01107e+06
chain_pharmacy,Western_Medicine,2025-09,14451,604427
independent_pharmacy,Medical_Devices,2024-12,30242,1.02979e+06
public_hospital,Medical_Devices,2025-01,56605,2.50171e+06
public_hospital,Medical_Devices,2025-02,51059,2.28896e+06
primary_healthcare,Medical_Devices,2024-06,14283,421246
public_hospital,Medical_Devices,2025-03,43575,1.96425e+06
primary_healthcare,Medical_Devices,2024-07,15113,431087
public_hospital,Medical_Devices,2025-04,41889,1.91055e+06
primary_healthcare,TCM,2024-06,13827,491477
primary_healthcare,Medical_Devices,2024-08,15062,441772
independent_pharmacy,Western_Medicine,2025-10,26896,1.26902e+06
public_hospital,Medical_Devices,2025-05,42492,1.89679e+06
primary_healthcare,TCM,2024-07,14741,522011
primary_healthcare,Medical_Devices,2024-09,14432,420412
chain_pharmacy,TCM,2024-10,9543,336765
independent_pharmacy,Western_Medicine,2025-11,36849,1.72428e+06
public_hospital,Medical_Devices,2025-06,35893,1.54567e+06
primary_healthcare,TCM,2024-08,14424,516284
public_hospital,Western_Medicine,2024-06,53096,2.41221e+06
chain_pharmacy,TCM,2024-11,11745,455914
public_hospital,Medical_Devices,2025-07,36102,1.58445e+06
primary_healthcare,TCM,2024-09,13937,486476
public_hospital,Western_Medicine,2024-07,55218,2.50827e+06
chain_pharmacy,TCM,2024-12,12102,463166
clinic,TCM,2025-10,4655,150035
public_hospital,Medical_Devices,2025-08,36393,1.61087e+06
public_hospital,Western_Medicine,2024-08,56501,2.56086e+06
public_hospital,TCM,2024-10,49311,1.92461e+06
clinic,TCM,2025-11,5545,211157
primary_healthcare,Western_Medicine,2025-10,21558,991716
public_hospital,Medical_Devices,2025-09,35368,1.55162e+06
public_hospital,Western_Medicine,2024-09,53988,2.45846e+06
public_hospital,TCM,2024-11,61789,2.75886e+06
chain_pharmacy,Western_Medicine,2024-06,14593,611880
clinic,Health_Supplements,2024-10,947,17445.6
primary_healthcare,Western_Medicine,2025-11,28793,1.20799e+06
public_hospital,TCM,2024-12,62361,2.72465e+06
chain_pharmacy,Western_Medicine,2024-07,15185,638932
clinic,Health_Supplements,2024-11,1148,17715.5
chain_pharmacy,Western_Medicine,2024-08,14780,612621
clinic,Health_Supplements,2024-12,1162,16717.8
chain_pharmacy,Western_Medicine,2024-09,14120,598616
primary_healthcare,Health_Supplements,2024-06,4611,152674
primary_healthcare,Health_Supplements,2024-07,4763,152124
public_hospital,Health_Supplements,2025-10,19101,981613
primary_healthcare,Health_Supplements,2024-08,4925,153830
public_hospital,Health_Supplements,2025-11,16705,845241
primary_healthcare,Health_Supplements,2024-09,4688,151635
independent_pharmacy,Western_Medicine,2024-10,28368,1.38178e+06
independent_pharmacy,Western_Medicine,2024-11,39923,1.90869e+06
public_hospital,Medical_Devices,2024-06,35847,1.55846e+06
independent_pharmacy,Western_Medicine,2024-12,40756,1.94161e+06
public_hospital,Medical_Devices,2024-07,37958,1.64964e+06
clinic,Medical_Devices,2025-01,5322,206629
public_hospital,Medical_Devices,2024-08,37266,1.63365e+06
clinic,Medical_Devices,2025-02,4718,181373
public_hospital,Medical_Devices,2024-09,36542,1.59202e+06
primary_healthcare,Western_Medicine,2024-10,21739,1.00333e+06
independent_pharmacy,TCM,2025-10,22083,691938
clinic,Medical_Devices,2025-03,5335,257965
primary_healthcare,Western_Medicine,2024-11,30181,1.27726e+06
independent_pharmacy,TCM,2025-11,24159,826908
clinic,Medical_Devices,2025-04,5375,261830
primary_healthcare,Western_Medicine,2024-12,31329,1.31612e+06
clinic,Medical_Devices,2025-05,5302,255955
chain_pharmacy,Medical_Devices,2025-01,13771,367074
clinic,Medical_Devices,2025-06,4432,181626
chain_pharmacy,Medical_Devices,2025-02,11936,327645
clinic,Medical_Devices,2025-07,4610,184575
chain_pharmacy,Medical_Devices,2025-03,10422,279454
clinic,Medical_Devices,2025-08,4621,190382
chain_pharmacy,Medical_Devices,2025-04,10057,264676
public_hospital,Health_Supplements,2024-10,18889,951741
clinic,Western_Medicine,2025-10,6209,266080
independent_pharmacy,Health_Supplements,2025-10,6785,302385
clinic,Medical_Devices,2025-09,4543,185710
chain_pharmacy,Medical_Devices,2025-05,10245,276176
public_hospital,Health_Supplements,2024-11,18839,940155
clinic,Western_Medicine,2025-11,8630,361521
independent_pharmacy,Health_Supplements,2025-11,7520,273390
chain_pharmacy,Medical_Devices,2025-06,9757,269157
public_hospital,Health_Supplements,2024-12,18763,923058
chain_pharmacy,Medical_Devices,2025-07,9705,271446
chain_pharmacy,Medical_Devices,2025-08,9553,267169
chain_pharmacy,Medical_Devices,2025-09,9323,251039
primary_healthcare,TCM,2025-10,14222,494953
independent_pharmacy,TCM,2024-10,22896,739515
primary_healthcare,TCM,2025-11,16512,658851
chain_pharmacy,TCM,2025-01,12402,471758
clinic,TCM,2024-10,4936,175114
independent_pharmacy,TCM,2024-11,25497,872772
chain_pharmacy,TCM,2025-02,11006,410663
clinic,TCM,2024-11,6164,246169
independent_pharmacy,TCM,2024-12,26316,902635
chain_pharmacy,Health_Supplements,2025-10,4277,184707
chain_pharmacy,TCM,2025-03,12545,427705
clinic,TCM,2024-12,6142,237252
clinic,Medical_Devices,2024-06,4388,177572
chain_pharmacy,Health_Supplements,2025-11,4634,183999
chain_pharmacy,TCM,2025-04,12691,428533
clinic,Medical_Devices,2024-07,4577,190176
chain_pharmacy,TCM,2025-05,12687,433105
clinic,Medical_Devices,2024-08,4671,190180
chain_pharmacy,TCM,2025-06,9346,330305
clinic,Medical_Devices,2024-09,4608,187148
independent_pharmacy,Health_Supplements,2024-10,6844,298215
clinic,Western_Medicine,2024-10,6166,269177
chain_pharmacy,TCM,2025-07,9551,316099
chain_pharmacy,Medical_Devices,2024-06,9630,263800
independent_pharmacy,Health_Supplements,2024-11,7893,294450
clinic,Western_Medicine,2024-11,8882,368143
chain_pharmacy,TCM,2025-08,9316,311569
chain_pharmacy,Medical_Devices,2024-07,10407,281868
independent_pharmacy,Health_Supplements,2024-12,8206,318944
clinic,Western_Medicine,2024-12,9166,385624
primary_healthcare,Health_Supplements,2025-10,4869,159737
chain_pharmacy,TCM,2025-09,9227,303519
independent_pharmacy,Medical_Devices,2025-01,30760,1.05369e+06
chain_pharmacy,Medical_Devices,2024-08,9927,275537
primary_healthcare,Health_Supplements,2025-11,5328,148098
independent_pharmacy,Medical_Devices,2025-02,28395,971986
chain_pharmacy,Medical_Devices,2024-09,9785,270596
independent_pharmacy,Medical_Devices,2025-03,26921,1.02736e+06
independent_pharmacy,Medical_Devices,2025-04,26782,1.03497e+06
independent_pharmacy,Medical_Devices,2025-05,27608,1.07e+06
primary_healthcare,Medical_Devices,2025-10,14061,416510
independent_pharmacy,Medical_Devices,2025-06,23296,860858
primary_healthcare,Medical_Devices,2025-11,19291,574995
independent_pharmacy,Medical_Devices,2025-07,23153,857804
independent_pharmacy,Medical_Devices,2025-08,22648,845108
chain_pharmacy,Health_Supplements,2024-10,4267,181355
independent_pharmacy,Medical_Devices,2025-09,22377,834722
chain_pharmacy,Health_Supplements,2024-11,4677,174102
public_hospital,Western_Medicine,2025-10,54302,2.50664e+06
chain_pharmacy,Health_Supplements,2024-12,4666,181059
public_hospital,Western_Medicine,2025-11,70011,2.9218e+06
public_hospital,TCM,2025-01,63342,2.75679e+06
chain_pharmacy,Western_Medicine,2025-10,14504,603318
public_hospital,TCM,2025-02,57511,2.56039e+06
clinic,Health_Supplements,2025-01,1243,18860.1
chain_pharmacy,Western_Medicine,2025-11,18632,775360
public_hospital,TCM,2025-03,65911,2.34035e+06
clinic,Health_Supplements,2025-02,984,13474.8
public_hospital,TCM,2025-04,65240,2.3124e+06
clinic,Health_Supplements,2025-03,938,17527.6
public_hospital,TCM,2025-05,67042,2.39364e+06
clinic,Health_Supplements,2025-04,975,16957.9
public_hospital,TCM,2025-06,46585,1.80158e+06
clinic,Health_Supplements,2025-05,938,16389.9
public_hospital,TCM,2025-07,46624,1.76051e+06
clinic,Health_Supplements,2025-06,908,16597.7
public_hospital,TCM,2025-08,45348,1.72044e+06
clinic,Health_Supplements,2025-07,945,15882.6
independent_pharmacy,Medical_Devices,2024-06,23019,854296
primary_healthcare,Medical_Devices,2024-10,14815,416272
public_hospital,TCM,2025-09,44857,1.68208e+06
clinic,Health_Supplements,2025-08,888,16233.7
independent_pharmacy,Medical_Devices,2024-07,24185,887478
primary_healthcare,Medical_Devices,2024-11,20841,605506
clinic,Health_Supplements,2025-09,907,16689.6
independent_pharmacy,Medical_Devices,2024-08,23847,878067
primary_healthcare,TCM,2024-10,14492,521728
primary_healthcare,Medical_Devices,2024-12,21073,617502
independent_pharmacy,Western_Medicine,2025-01,41659,1.98424e+06
independent_pharmacy,Medical_Devices,2024-09,22889,839690
primary_healthcare,TCM,2024-11,17643,702379
public_hospital,Medical_Devices,2025-10,36635,1.6354e+06
independent_pharmacy,Western_Medicine,2025-02,36411,1.73094e+06
primary_healthcare,TCM,2024-12,18195,731692
public_hospital,Western_Medicine,2024-10,55952,2.56015e+06
public_hospital,Medical_Devices,2025-11,53101,2.41968e+06
independent_pharmacy,Western_Medicine,2025-03,29772,1.40965e+06
public_hospital,Western_Medicine,2024-11,73744,3.15288e+06
independent_pharmacy,Western_Medicine,2025-04,30147,1.42007e+06
clinic,TCM,2025-01,6299,243407
public_hospital,Western_Medicine,2024-12,77683,3.27936e+06
independent_pharmacy,Western_Medicine,2025-05,30322,1.44662e+06
clinic,TCM,2025-02,5806,231619
primary_healthcare,Western_Medicine,2025-01,31892,1.34372e+06
chain_pharmacy,Western_Medicine,2024-10,15242,636814
independent_pharmacy,Western_Medicine,2025-06,26609,1.31206e+06
clinic,TCM,2025-03,7333,209818
primary_healthcare,Western_Medicine,2025-02,28669,1.2097e+06
chain_pharmacy,TCM,2024-06,9391,331090
chain_pharmacy,Western_Medicine,2024-11,19216,806887
independent_pharmacy,Western_Medicine,2025-07,27131,1.28257e+06
clinic,TCM,2025-04,7296,211076
primary_healthcare,Western_Medicine,2025-03,24946,1.10751e+06
chain_pharmacy,TCM,2024-07,9777,347073
chain_pharmacy,Western_Medicine,2024-12,20380,853735
independent_pharmacy,Western_Medicine,2025-08,26054,1.24483e+06
clinic,TCM,2025-05,7514,212650
primary_healthcare,Western_Medicine,2025-04,24752,1.10032e+06
chain_pharmacy,TCM,2024-08,9843,349342
independent_pharmacy,Western_Medicine,2025-09,26028,1.25533e+06
clinic,TCM,2025-06,4568,158740
primary_healthcare,Western_Medicine,2025-05,25038,1.11146e+06
public_hospital,TCM,2024-06,45903,1.79109e+06
chain_pharmacy,TCM,2024-09,9272,339468
primary_healthcare,Health_Supplements,2024-10,4995,165305
clinic,TCM,2025-07,4796,151853
primary_healthcare,Western_Medicine,2025-06,21071,963805
primary_healthcare,Health_Supplements,2024-11,5674,160012
clinic,Health_Supplements,2024-06,897,16596.2
public_hospital,TCM,2024-07,48505,1.86888e+06
clinic,TCM,2025-08,4653,148883
primary_healthcare,Western_Medicine,2025-07,21629,987946
public_hospital,Health_Supplements,2025-01,19023,973788
primary_healthcare,Health_Supplements,2024-12,5753,164244
clinic,Health_Supplements,2024-07,939,16652.4
public_hospital,TCM,2024-08,47852,1.8677e+06
clinic,TCM,2025-09,4547,149968
primary_healthcare,Western_Medicine,2025-08,21067,956355
public_hospital,Health_Supplements,2025-02,17374,859178
clinic,Health_Supplements,2024-08,940,17526.9
public_hospital,TCM,2024-09,46492,1.80826e+06
