sku_id,date,units,revenue,stockout_count,promotion_count,order_count
SKU_00134,2024-06-27,60,6985.68,0,1,10
SKU_00043,2024-08-04,36,473.02,0,0,7
SKU_00130,2024-06-17,58,165.75,2,0,9
SKU_00272,2024-12-09,20,75.86,0,0,5
SKU_00006,2025-03-15,139,5296.42,0,1,9
SKU_00097,2025-01-04,10,33.78,0,0,4
SKU_00003,2025-11-29,20,123.16,0,0,5
SKU_00111,2025-08-24,64,378.6,1,0,18
SKU_00256,2025-06-03,12,22.08,0,0,5
SKU_00047,2024-08-15,17,485.5,0,0,7
SKU_00134,2024-06-28,68,8039.39,0,0,9
SKU_00002,2025-03-20,47,119.75,1,0,8
SKU_00043,2024-08-05,35,459.39,0,0,8
SKU_00130,2024-06-18,59,161.97,1,0,10
SKU_00006,2025-03-16,133,5184,0,0,9
SKU_00097,2025-01-05,8,28.16,0,0,3
SKU_00111,2025-08-25,64,374.38,0,1,16
SKU_00256,2025-06-04,25,41.11,0,1,5
SKU_00047,2024-08-16,21,595.59,0,0,7
SKU_00134,2024-06-29,72,8315.95,0,1,11
SKU_00002,2025-03-21,56,146.56,0,0,7
SKU_00093,2025-01-10,11,442.9,0,0,4
SKU_00043,2024-08-06,49,629.87,0,0,6
SKU_00130,2024-06-19,48,134.55,0,0,10
SKU_00006,2025-03-17,193,7298.14,0,0,8
SKU_00097,2025-01-06,17,59.94,0,0,4
SKU_00111,2025-08-26,72,425.27,0,1,17
SKU_00256,2025-06-05,16,29.44,0,0,4
SKU_00047,2024-08-17,10,284.92,1,0,6
SKU_00002,2025-03-22,53,134.84,0,1,8
SKU_00093,2025-01-11,10,403.43,0,0,6
SKU_00147,2025-01-01,18,987.1,0,1,7
SKU_00043,2024-08-07,38,495,0,0,8
SKU_00006,2025-03-18,134,4987.55,0,0,9
SKU_00097,2025-01-07,37,129.47,0,0,7
SKU_00111,2025-08-27,72,416.95,0,0,15
SKU_00256,2025-06-06,20,35.83,0,0,5
SKU_00047,2024-08-18,15,433.27,0,0,6
SKU_00002,2025-03-23,49,126.86,0,0,8
SKU_00093,2025-01-12,5,200.1,0,0,2
SKU_00147,2025-01-02,22,1251.79,0,0,8
SKU_00043,2024-08-08,35,460.09,0,0,8
SKU_00006,2025-03-19,172,6587.47,0,0,9
SKU_00097,2025-01-08,3,10.22,0,0,2
SKU_00148,2025-10-30,6,55.63,1,0,3
SKU_00111,2025-08-28,67,399.58,0,0,17
SKU_00256,2025-06-07,15,26.53,0,1,6
SKU_00047,2024-08-19,14,404.87,0,0,6
SKU_00002,2025-03-24,71,187.48,0,0,8
SKU_00093,2025-01-13,6,240.76,0,0,2
SKU_00147,2025-01-03,16,864.74,0,1,6
SKU_00043,2024-08-09,50,635.63,1,0,7
SKU_00097,2025-01-09,49,169.43,0,1,8
SKU_00148,2025-10-31,14,134.95,0,0,3
SKU_00144,2025-10-21,3,133.11,0,0,2
SKU_00111,2025-08-29,82,471.87,0,0,16
SKU_00256,2025-06-08,17,31.05,0,0,4
SKU_00002,2025-03-25,82,210.97,0,0,8
SKU_00093,2025-01-14,9,353.41,0,0,2
SKU_00147,2025-01-04,10,551.47,1,0,7
SKU_00144,2025-10-22,19,827.7,0,0,2
SKU_00256,2025-06-09,22,40.45,0,0,6
SKU_00002,2025-03-26,110,295.51,0,1,7
SKU_00093,2025-01-15,11,428.73,0,0,3
SKU_00147,2025-01-05,7,396.2,1,1,5
SKU_00144,2025-10-23,32,1356.7,0,0,4
SKU_00002,2025-03-27,58,153.09,1,0,8
SKU_00043,2024-09-30,33,428.73,2,1,8
SKU_00093,2025-01-16,2,78.74,0,0,1
SKU_00147,2025-01-06,15,837.64,0,0,7
SKU_00144,2025-10-24,19,777.55,0,0,4
SKU_00002,2025-03-28,54,141.46,1,0,8
SKU_00093,2025-01-17,15,594.46,0,0,4
SKU_00147,2025-01-07,10,564.8,0,0,6
SKU_00188,2024-07-10,33,137.52,1,0,6
SKU_00256,2025-07-30,6,11.02,1,0,4
SKU_00076,2024-10-20,7,47.71,0,0,3
SKU_00002,2025-03-29,38,98.3,1,0,8
SKU_00093,2025-01-18,8,311.11,0,0,3
SKU_00147,2025-01-08,10,563.38,1,0,7
SKU_00188,2024-07-11,81,326.95,0,1,8
SKU_00072,2024-10-10,2,8.99,1,0,3
SKU_00140,2025-10-30,46,424.13,0,0,10
SKU_00144,2025-10-26,13,547.98,0,0,5
SKU_00256,2025-07-31,12,20.93,0,0,5
SKU_00076,2024-10-21,42,286.27,0,0,6
SKU_00093,2025-01-19,11,423.31,1,1,5
SKU_00147,2025-01-09,29,1611.33,0,1,9
SKU_00188,2024-07-12,35,144.4,1,0,6
SKU_00072,2024-10-11,15,70.17,0,0,5
SKU_00126,2024-10-01,49,155.13,0,1,6
SKU_00140,2025-10-31,75,698.05,0,0,10
SKU_00144,2025-10-27,36,1524.56,1,0,4
SKU_00076,2024-10-22,33,228.55,0,0,6
SKU_00188,2024-07-13,29,122.62,0,0,7
SKU_00072,2024-10-12,3,14.08,0,0,2
SKU_00126,2024-10-02,74,231.93,1,0,8
SKU_00144,2025-10-28,7,293.11,0,0,2
SKU_00169,2025-09-20,10,23.77,1,0,3
SKU_00076,2024-10-23,36,252.74,1,0,8
SKU_00188,2024-07-14,26,107.62,0,0,6
SKU_00072,2024-10-13,3,13.59,0,0,3
SKU_00126,2024-10-03,75,236.96,1,0,8
SKU_00144,2025-10-29,20,820.77,0,0,1
SKU_00169,2025-09-21,2,4.84,0,0,1
SKU_00165,2025-09-11,10,28.84,1,0,4
SKU_00219,2025-09-01,5,31.79,0,0,2
SKU_00076,2024-10-24,12,82.42,0,0,2
SKU_00188,2024-07-15,39,160.41,1,0,9
SKU_00072,2024-10-14,7,31,0,2,4
SKU_00126,2024-10-04,76,235.07,2,1,8
SKU_00143,2025-02-20,84,1996.84,0,0,10
SKU_00169,2025-09-22,9,21.28,0,0,2
SKU_00165,2025-09-12,4,11.73,0,0,2
SKU_00076,2024-10-25,14,98.24,0,1,6
SKU_00188,2024-07-16,37,160.07,0,0,6
SKU_00072,2024-10-15,6,28.15,1,0,4
SKU_00126,2024-10-05,31,98.18,1,0,6
SKU_00143,2025-02-21,61,1433.27,1,1,8
SKU_00184,2024-07-20,17,555.02,0,0,6
SKU_00198,2025-10-01,48,441.65,0,1,7
SKU_00169,2025-09-23,9,21.71,0,0,2
SKU_00165,2025-09-13,2,5.96,0,0,2
SKU_00219,2025-09-03,14,89.64,0,1,4
SKU_00076,2024-10-26,5,34.36,0,0,3
SKU_00234,2024-07-01,18,211.74,0,0,7
SKU_00188,2024-07-17,46,201.9,1,0,6
SKU_00072,2024-10-16,7,32.6,0,0,4
SKU_00126,2024-10-06,49,154.43,0,0,8
SKU_00143,2025-02-22,63,1496.82,1,0,10
SKU_00184,2024-07-21,18,587.05,0,0,8
SKU_00122,2024-10-10,15,96.71,0,0,7
SKU_00198,2025-10-02,36,332.48,1,0,7
SKU_00169,2025-09-24,34,77.27,0,0,2
SKU_00165,2025-09-14,3,8.35,0,0,2
SKU_00219,2025-09-04,13,80.39,0,1,4
SKU_00056,2025-04-10,8,426.57,0,1,5
SKU_00076,2024-10-27,24,160.1,0,0,2
SKU_00234,2024-07-02,22,258.13,1,0,7
SKU_00188,2024-07-18,42,179.11,0,0,8
SKU_00072,2024-10-17,7,31.2,0,0,4
SKU_00126,2024-10-07,64,205.03,0,0,8
SKU_00143,2025-02-23,70,1613.9,0,0,8
SKU_00184,2024-07-22,32,1083.95,0,0,8
SKU_00122,2024-10-11,29,189.6,0,0,10
SKU_00198,2025-10-03,51,467.51,0,1,6
SKU_00169,2025-09-25,19,45.4,0,0,3
SKU_00165,2025-09-15,1,3.03,0,0,1
SKU_00219,2025-09-05,8,50.81,1,0,3
SKU_00056,2025-04-11,13,753.47,0,0,5
SKU_00076,2024-10-28,16,112.32,1,0,6
SKU_00234,2024-07-03,42,485.88,1,0,7
SKU_00188,2024-07-19,24,102.62,1,0,7
SKU_00072,2024-10-18,9,41.59,0,0,5
SKU_00126,2024-10-08,73,229.19,1,0,8
SKU_00143,2025-02-24,57,1330.11,1,0,11
SKU_00097,2024-09-10,17,58.69,0,0,4
SKU_00184,2024-07-23,36,1210.24,1,0,10
SKU_00122,2024-10-12,21,133.57,0,1,9
SKU_00198,2025-10-04,24,221.53,0,0,6
SKU_00169,2025-09-26,41,97.43,0,0,4
SKU_00161,2025-09-20,3,40.36,0,0,2
SKU_00165,2025-09-16,7,19.58,0,0,2
SKU_00215,2025-09-10,18,1238.62,0,1,5
SKU_00219,2025-09-06,7,44.26,1,1,4
SKU_00056,2025-04-12,12,688.83,0,0,5
SKU_00076,2024-10-29,23,157.6,0,0,6
SKU_00093,2024-09-01,1,41.86,1,0,1
SKU_00234,2024-07-04,22,249.68,0,1,5
SKU_00072,2024-10-19,2,9.29,0,0,2
SKU_00126,2024-10-09,83,261.17,0,0,8
SKU_00143,2025-02-25,89,2160.86,0,0,10
SKU_00097,2024-09-11,5,17.61,0,0,2
SKU_00184,2024-07-24,30,979.62,1,0,9
SKU_00122,2024-10-13,10,64.89,1,1,8
SKU_00198,2025-10-05,33,309.7,0,0,7
SKU_00169,2025-09-27,13,30.03,0,1,4
SKU_00161,2025-09-21,2,25.29,0,0,2
SKU_00165,2025-09-17,5,14.21,0,0,3
SKU_00215,2025-09-11,19,1288.31,0,0,6
SKU_00219,2025-09-07,7,44.41,0,0,3
SKU_00056,2025-04-13,8,467.15,0,0,6
SKU_00093,2024-09-02,9,367.85,1,0,3
SKU_00234,2024-07-05,19,220.2,0,0,6
SKU_00143,2025-02-26,79,1834.33,1,0,11
SKU_00097,2024-09-12,51,176.94,0,0,7
SKU_00035,2024-12-01,8,965.67,0,0,3
SKU_00184,2024-07-25,28,926.26,0,0,14
SKU_00122,2024-10-14,24,155.59,1,0,8
SKU_00198,2025-10-06,48,458.66,2,0,7
SKU_00169,2025-09-28,14,28.48,0,1,2
SKU_00161,2025-09-22,8,100.89,0,2,5
SKU_00165,2025-09-18,7,20.66,0,0,3
SKU_00215,2025-09-12,21,1439.57,0,0,7
SKU_00219,2025-09-08,1,6.63,1,0,1
SKU_00056,2025-04-14,8,454.88,1,0,5
SKU_00093,2024-09-03,15,591.63,0,0,3
SKU_00180,2024-07-30,22,1405.55,0,0,4
SKU_00234,2024-07-06,11,129.28,0,0,5
SKU_00143,2025-02-27,91,2164.94,0,1,10
SKU_00097,2024-09-13,35,121.72,1,0,7
SKU_00035,2024-12-02,19,2296.58,0,0,3
SKU_00230,2024-07-10,13,129.19,0,0,5
SKU_00184,2024-07-26,26,847.72,1,1,13
SKU_00122,2024-10-15,18,110.14,0,1,9
SKU_00198,2025-10-07,53,487.38,0,0,7
SKU_00190,2025-10-01,50,1805.66,2,0,15
SKU_00169,2025-09-29,7,16.32,0,0,2
SKU_00161,2025-09-23,11,146.22,0,0,8
SKU_00165,2025-09-19,13,37.75,0,0,6
SKU_00215,2025-09-13,12,834.67,1,0,8
SKU_00219,2025-09-09,3,18.64,1,0,2
SKU_00056,2025-04-15,10,584.04,0,0,5
SKU_00093,2024-09-04,12,490.26,1,0,4
SKU_00180,2024-07-31,24,1491.79,0,0,3
SKU_00126,2024-11-30,31,97.76,0,0,6
SKU_00234,2024-07-07,17,197.39,0,0,4
SKU_00143,2025-02-28,103,2392.83,1,2,10
SKU_00097,2024-09-14,4,13.7,0,0,3
SKU_00035,2024-12-03,14,1690.66,0,0,4
SKU_00230,2024-07-11,4,37.76,0,0,3
SKU_00184,2024-07-27,19,624.03,0,0,9
SKU_00122,2024-10-16,15,96.78,0,0,7
SKU_00198,2025-10-08,47,444.68,1,0,7
SKU_00190,2025-10-02,33,1204.06,2,1,11
SKU_00161,2025-09-24,9,120.52,0,0,6
SKU_00215,2025-09-14,12,845.98,1,0,6
SKU_00052,2025-04-20,33,420.47,0,0,8
SKU_00056,2025-04-16,6,344.94,0,0,4
SKU_00106,2025-04-10,18,1311.38,0,0,7
SKU_00093,2024-09-05,7,293.06,0,0,3
SKU_00234,2024-07-08,28,332.33,0,0,6
SKU_00097,2024-09-15,14,47.63,0,0,7
SKU_00035,2024-12-04,9,1143.4,0,0,3
SKU_00230,2024-07-12,19,186.12,0,1,5
SKU_00184,2024-07-28,15,487.75,1,1,11
SKU_00122,2024-10-17,23,148.07,1,0,9
SKU_00198,2025-10-09,51,468.6,0,1,7
SKU_00190,2025-10-03,33,1241.69,0,0,11
SKU_00161,2025-09-25,8,101.43,0,2,7
SKU_00215,2025-09-15,23,1558.73,1,0,6
SKU_00052,2025-04-21,40,510.18,1,1,8
SKU_00056,2025-04-17,12,706.8,0,0,6
SKU_00106,2025-04-11,19,1396.43,0,0,8
SKU_00234,2024-07-09,18,207.86,0,1,6
SKU_00097,2024-09-16,42,142.86,0,0,8
SKU_00035,2024-12-05,10,1217.17,0,0,3
SKU_00230,2024-07-13,12,113.84,1,1,5
SKU_00184,2024-07-29,29,943.45,1,1,14
SKU_00122,2024-10-18,24,155.75,0,0,8
SKU_00190,2025-10-04,26,957.88,0,0,13
SKU_00161,2025-09-26,3,39.65,0,0,3
SKU_00211,2025-09-20,108,3013.62,2,0,14
SKU_00215,2025-09-16,27,1829.29,0,2,6
SKU_00052,2025-04-22,39,505.94,0,0,8
SKU_00056,2025-04-18,7,414.93,0,0,5
SKU_00106,2025-04-12,11,817.45,0,0,4
SKU_00197,2025-02-01,72,3018.55,1,0,11
SKU_00093,2024-09-07,12,479.28,0,0,4
SKU_00031,2024-12-10,67,1697.46,1,0,4
SKU_00143,2024-09-01,54,1272.91,2,0,10
SKU_00097,2024-09-17,7,24,0,0,3
SKU_00035,2024-12-06,13,1552.87,0,0,4
SKU_00230,2024-07-14,5,47.28,0,0,3
SKU_00122,2024-10-19,12,77.68,0,0,8
SKU_00190,2025-10-05,27,989.36,1,0,12
SKU_00161,2025-09-27,6,74.91,0,1,4
SKU_00211,2025-09-21,112,3133.25,0,0,14
SKU_00215,2025-09-17,21,1470.36,0,1,7
SKU_00052,2025-04-23,60,791.74,0,0,8
SKU_00056,2025-04-19,7,396.55,0,0,4
SKU_00106,2025-04-13,12,893.85,0,1,7
SKU_00197,2025-02-02,58,2483.62,0,0,10
SKU_00093,2024-09-08,5,196.77,1,0,2
SKU_00031,2024-12-11,83,2108.18,0,0,4
SKU_00143,2024-09-02,70,1689.89,1,0,11
SKU_00097,2024-09-18,35,118.74,0,0,3
SKU_00035,2024-12-07,10,1211.05,0,0,4
SKU_00230,2024-07-15,9,87.51,0,0,3
SKU_00248,2025-11-10,14,42.86,0,0,3
SKU_00190,2025-10-06,29,1099.53,1,0,13
SKU_00161,2025-09-28,4,52.26,0,0,4
SKU_00211,2025-09-22,194,5505.59,1,1,15
SKU_00215,2025-09-18,28,1930.25,1,0,7
SKU_00019,2025-06-01,40,59.49,0,0,13
SKU_00052,2025-04-24,49,637.58,0,1,8
SKU_00106,2025-04-14,9,649.01,0,0,2
SKU_00197,2025-02-03,118,4977.88,3,0,11
SKU_00093,2024-09-09,21,837.3,0,0,6
SKU_00234,2024-08-30,13,151.83,1,0,6
SKU_00031,2024-12-12,51,1300.68,0,0,4
SKU_00143,2024-09-03,78,1851.32,0,0,10
SKU_00288,2025-01-30,12,19.1,0,0,5
SKU_00097,2024-09-19,5,17.97,0,0,3
SKU_00035,2024-12-08,7,891.26,0,0,2
SKU_00230,2024-07-16,7,67.62,0,0,3
SKU_00248,2025-11-11,9,27.95,0,0,4
SKU_00190,2025-10-07,35,1271.35,0,0,12
SKU_00240,2025-10-01,18,862.07,0,0,2
SKU_00161,2025-09-29,6,77.19,0,0,5
SKU_00211,2025-09-23,154,4309.86,1,0,15
SKU_00215,2025-09-19,26,1834.05,0,0,7
SKU_00019,2025-06-02,62,88.22,0,0,12
SKU_00052,2025-04-25,54,711.84,0,0,7
SKU_00106,2025-04-15,19,1403.2,0,1,6
SKU_00197,2025-02-04,89,3879.64,0,0,11
SKU_00234,2024-08-31,10,116.08,0,0,4
SKU_00031,2024-12-13,78,2034.95,0,0,4
SKU_00143,2024-09-04,90,2118.71,0,1,11
SKU_00288,2025-01-31,18,27.52,2,0,5
SKU_00035,2024-12-09,9,1132.67,0,0,3
SKU_00230,2024-07-17,6,57.57,0,0,4
SKU_00248,2025-11-12,14,42.27,2,0,4
SKU_00190,2025-10-08,42,1564.64,0,0,15
SKU_00240,2025-10-02,44,2183.11,0,0,3
SKU_00211,2025-09-24,135,3786.26,2,0,14
SKU_00019,2025-06-03,74,103.68,0,1,12
SKU_00052,2025-04-26,43,550.2,0,0,8
SKU_00102,2025-04-20,23,287.43,0,0,8
SKU_00106,2025-04-16,21,1458.53,0,2,7
SKU_00197,2025-02-05,88,3732.54,1,0,11
SKU_00031,2024-12-14,49,1271.07,1,0,4
SKU_00143,2024-09-05,92,2119.3,0,0,11
SKU_00230,2024-07-18,15,145.72,0,0,5
SKU_00248,2025-11-13,19,58.67,0,0,5
SKU_00190,2025-10-09,42,1564.71,0,0,15
SKU_00240,2025-10-03,14,683.38,0,0,3
SKU_00211,2025-09-25,129,3621.29,1,1,14
SKU_00019,2025-06-04,75,109.39,1,0,13
SKU_00052,2025-04-27,34,431.7,0,0,6
SKU_00102,2025-04-21,47,610.97,1,0,11
SKU_00106,2025-04-17,15,1102.28,0,0,6
SKU_00197,2025-02-06,146,5863.85,0,2,11
SKU_00031,2024-12-15,41,1082.69,1,0,4
SKU_00143,2024-09-06,91,2112.91,0,1,10
SKU_00230,2024-07-19,19,173.92,1,1,8
SKU_00248,2025-11-14,13,40.23,0,1,4
SKU_00240,2025-10-04,16,741.07,1,0,3
SKU_00211,2025-09-26,131,3688.06,3,1,15
SKU_00019,2025-06-05,65,96.09,1,0,13
SKU_00052,2025-04-28,51,648.93,1,1,8
SKU_00102,2025-04-22,34,433.4,0,0,11
SKU_00106,2025-04-18,17,1241.58,1,0,6
SKU_00197,2025-02-07,128,5608.58,1,0,11
SKU_00031,2024-12-16,85,2234.14,0,0,4
SKU_00143,2024-09-07,63,1501.09,0,0,10
SKU_00248,2025-11-15,9,26.87,0,0,2
SKU_00240,2025-10-05,29,1425.36,0,0,3
SKU_00211,2025-09-27,92,2577.43,0,1,14
SKU_00019,2025-06-06,39,57.49,2,0,10
SKU_00052,2025-04-29,64,822.11,1,0,8
SKU_00102,2025-04-23,36,458.67,0,0,11
SKU_00106,2025-04-19,14,1004.88,0,0,4
SKU_00197,2025-02-08,67,2946.08,0,0,11
SKU_00031,2024-12-17,34,886.62,1,0,4
SKU_00143,2024-09-08,49,1165.9,0,0,9
SKU_00244,2025-11-20,5,204.03,0,0,1
SKU_00248,2025-11-16,7,21.03,0,0,3
SKU_00240,2025-10-06,52,2519.28,0,1,5
SKU_00211,2025-09-28,102,2817.45,0,0,15
SKU_00019,2025-06-07,33,47.52,0,0,12
SKU_00011,2025-06-01,3,4.3,0,0,1
SKU_00102,2025-04-24,34,437.29,1,0,10
SKU_00197,2025-02-09,71,3072.92,0,1,11
SKU_00176,2024-11-01,238,17673.3,0,0,8
SKU_00031,2024-12-18,71,1884.08,0,0,4
SKU_00143,2024-09-09,65,1546.21,1,0,11
SKU_00244,2025-11-21,30,1243.02,0,0,3
SKU_00248,2025-11-17,8,24.41,0,0,3
SKU_00240,2025-10-07,4,188.09,0,0,1
SKU_00211,2025-09-29,155,4302.29,0,0,15
SKU_00019,2025-06-08,35,50.61,0,0,12
SKU_00011,2025-06-02,21,29.41,0,1,5
SKU_00102,2025-04-25,51,645.29,0,0,11
SKU_00176,2024-11-02,208,15665.9,0,1,8
SKU_00031,2024-12-19,105,2715.97,0,0,4
SKU_00244,2025-11-22,3,119.63,1,0,1
SKU_00248,2025-11-18,11,32.14,0,0,5
SKU_00240,2025-10-08,1,48.2,0,0,1
SKU_00019,2025-06-09,50,70.64,0,1,12
SKU_00011,2025-06-03,22,30.65,1,0,4
SKU_00102,2025-04-26,24,308.66,1,1,10
SKU_00176,2024-11-03,143,10727.1,1,1,8
SKU_00244,2025-11-23,9,383.45,0,0,2
SKU_00248,2025-11-19,10,30.41,0,0,4
SKU_00240,2025-10-09,4,196.73,0,0,1
SKU_00011,2025-06-04,13,18.05,0,0,3
SKU_00102,2025-04-27,9,113.97,0,0,6
SKU_00176,2024-11-04,228,17047.8,0,1,8
SKU_00247,2025-03-10,107,5689.92,0,0,12
SKU_00197,2025-03-30,23,974.5,0,1,9
SKU_00244,2025-11-24,20,820.68,0,0,2
SKU_00011,2025-06-05,16,22.44,0,0,3
SKU_00102,2025-04-28,45,572.86,1,0,11
SKU_00197,2025-03-31,36,1534.75,1,0,9
SKU_00176,2024-11-05,265,20585,1,0,8
SKU_00247,2025-03-11,85,4484.67,2,0,12
SKU_00288,2024-08-10,10,15.62,0,0,2
SKU_00244,2025-11-25,43,1767.76,0,0,5
SKU_00019,2025-07-30,57,81.29,0,0,13
SKU_00011,2025-06-06,9,12.17,0,0,4
SKU_00102,2025-04-29,32,398.7,0,0,9
SKU_00284,2024-08-01,58,4243.15,0,1,9
SKU_00176,2024-11-06,209,15520.5,1,1,8
SKU_00247,2025-03-12,108,5644.06,1,1,12
SKU_00288,2024-08-11,16,26.06,0,0,5
SKU_00172,2024-11-10,36,1716.56,0,0,6
SKU_00244,2025-11-26,34,1384.82,0,1,4
SKU_00019,2025-07-31,75,109.85,1,0,11
SKU_00011,2025-06-07,13,18.38,0,0,4
SKU_00284,2024-08-02,61,4377.16,0,0,9
SKU_00176,2024-11-07,211,16073.8,0,0,8
SKU_00247,2025-03-13,92,4863.09,2,0,12
SKU_00288,2024-08-12,25,38.74,0,0,5
SKU_00172,2024-11-11,39,1870.71,0,0,10
SKU_00226,2024-11-01,54,8665.72,0,0,9
SKU_00244,2025-11-27,3,128.09,0,0,1
SKU_00011,2025-06-08,9,12.31,0,0,3
SKU_00284,2024-08-03,60,4406.81,0,0,8
SKU_00176,2024-11-08,201,15202.8,0,0,8
SKU_00247,2025-03-14,101,5362.31,2,0,12
SKU_00288,2024-08-13,13,20.7,0,0,4
SKU_00172,2024-11-12,35,1691.65,0,0,9
SKU_00226,2024-11-02,38,6298.31,1,0,10
SKU_00244,2025-11-28,15,637.28,0,0,2
SKU_00011,2025-06-09,28,40.05,0,0,5
SKU_00284,2024-08-04,46,3227.78,0,0,7
SKU_00176,2024-11-09,129,9655.06,0,0,8
SKU_00247,2025-03-15,65,3484.51,0,0,11
SKU_00288,2024-08-14,34,53.68,0,0,5
SKU_00172,2024-11-13,32,1509.03,0,0,10
SKU_00226,2024-11-03,35,5660.46,0,0,9
SKU_00244,2025-11-29,10,402.29,0,0,2
SKU_00284,2024-08-05,79,5580.63,2,0,9
SKU_00247,2025-03-16,73,3864.34,1,1,11
SKU_00288,2024-08-15,23,36.73,0,0,5
SKU_00172,2024-11-14,48,2326,1,0,10
SKU_00226,2024-11-04,54,8958.02,0,0,10
SKU_00243,2025-03-20,22,98,1,0,9
SKU_00284,2024-08-06,78,5549.9,0,0,9
SKU_00247,2025-03-17,120,6350.54,1,0,12
SKU_00280,2024-08-10,29,217.66,0,0,10
SKU_00288,2024-08-16,26,41.78,0,0,5
SKU_00172,2024-11-15,65,3088.55,0,1,9
SKU_00226,2024-11-05,44,7121.3,0,2,10
SKU_00243,2025-03-21,20,88.68,0,0,8
SKU_00011,2025-07-30,19,24.55,0,1,3
SKU_00176,2024-12-30,305,22904.6,0,0,8
SKU_00284,2024-08-07,65,4787.23,0,0,8
SKU_00247,2025-03-18,102,5344.58,0,1,12
SKU_00280,2024-08-11,30,234.89,1,0,9
SKU_00288,2024-08-17,17,27.83,0,0,5
SKU_00172,2024-11-16,50,2358.33,0,0,9
SKU_00226,2024-11-06,53,8757.13,2,0,10
SKU_00243,2025-03-22,20,87.64,0,1,9
SKU_00011,2025-07-31,5,6.8,0,0,3
SKU_00156,2025-05-10,5,20.53,0,0,5
SKU_00176,2024-12-31,320,24823.2,1,0,8
SKU_00284,2024-08-08,48,3496.97,2,0,9
SKU_00222,2024-11-11,10,133.86,0,0,3
SKU_00247,2025-03-19,91,4850.18,2,0,12
SKU_00280,2024-08-12,41,309.09,0,0,9
SKU_00288,2024-08-18,12,18.78,0,0,4
SKU_00172,2024-11-17,32,1558.78,0,0,8
SKU_00226,2024-11-07,37,6113.55,0,0,7
SKU_00243,2025-03-23,15,67.35,0,0,7
SKU_00156,2025-05-11,2,8.12,0,0,2
SKU_00284,2024-08-09,55,4068.76,0,0,8
SKU_00222,2024-11-12,1,13.2,0,0,1
SKU_00280,2024-08-13,33,251.17,0,0,8
SKU_00288,2024-08-19,27,42.89,0,0,4
SKU_00172,2024-11-18,62,2927.48,1,0,10
SKU_00226,2024-11-08,41,6776.86,1,2,9
SKU_00243,2025-03-24,18,79.99,0,0,7
SKU_00156,2025-05-12,6,24.05,0,0,5
SKU_00222,2024-11-13,9,125.04,0,0,3
SKU_00280,2024-08-14,30,229.86,1,0,10
SKU_00172,2024-11-19,58,2764.45,1,0,9
SKU_00226,2024-11-09,38,6273.92,1,0,9
SKU_00243,2025-03-25,23,102.27,0,1,9
SKU_00156,2025-05-13,1,4.14,0,0,1
SKU_00222,2024-11-14,5,70.01,0,0,1
SKU_00280,2024-08-15,52,408.4,0,0,11
SKU_00243,2025-03-26,17,75.85,1,0,8
SKU_00069,2025-07-01,7,524.65,1,0,4
SKU_00156,2025-05-14,5,19.95,0,0,4
SKU_00222,2024-11-15,7,88.72,1,1,3
SKU_00280,2024-08-16,27,204.92,0,0,10
SKU_00243,2025-03-27,24,106.6,0,1,8
