inventory_id,warehouse_id,bin_id,sku_id,batch_id,manufacture_date,expiry_date,received_date,quantity_available,quantity_reserved,quality_status,days_to_expiry
INV_0000037,WH_001,WH_001_COOL_081,SKU_00003,BATCH_0000037,2025-02-21,2027-02-21,2025-03-03,42,0,good,270
INV_0000038,WH_003,WH_003_COLD_100,SKU_00271,BATCH_0000038,2026-01-22,2026-07-19,2026-02-01,22,0,good,53
INV_0000039,WH_003,WH_003_COOL_116,SKU_00043,BATCH_0000039,2026-03-07,2028-03-06,2026-03-18,61,12,good,649
INV_0000040,WH_001,WH_001_AMBIENT_083,SKU_00168,BATCH_0000040,2026-01-06,2027-01-06,2026-01-11,31,0,good,224
INV_0000041,WH_001,WH_001_COOL_064,SKU_00240,BATCH_0000041,2025-11-25,2026-09-07,2025-12-08,33,0,good,103
INV_0000042,WH_003,WH_003_COOL_002,SKU_00151,BATCH_0000042,2025-03-20,2026-09-24,2025-03-29,13,0,good,120
INV_0000043,WH_003,WH_003_COOL_184,SKU_00206,BATCH_0000043,2025-02-28,2026-08-21,2025-03-12,20,0,good,86
INV_0000044,WH_001,WH_001_AMBIENT_012,SKU_00113,BATCH_0000044,2026-02-22,2027-02-22,2026-02-26,22,0,good,271
INV_0000045,WH_001,WH_001_AMBIENT_005,SKU_00097,BATCH_0000045,2024-12-01,2027-03-03,2024-12-07,10,0,good,280
INV_0000046,WH_001,WH_001_COLD_167,SKU_00047,BATCH_0000046,2025-08-24,2026-07-15,2025-09-02,2,0,good,49
INV_0000047,WH_003,WH_003_AMBIENT_014,SKU_00215,BATCH_0000047,2025-05-19,2026-11-02,2025-05-30,33,0,good,159
INV_0000048,WH_002,WH_002_AMBIENT_157,SKU_00062,BATCH_0000048,2024-08-31,2026-08-22,2024-09-02,16,0,good,87
INV_0000049,WH_002,WH_002_COOL_197,SKU_00169,BATCH_0000049,2026-03-25,2027-04-01,2026-04-02,19,3,good,309
INV_0000050,WH_002,WH_002_AMBIENT_002,SKU_00291,BATCH_0000050,2026-01-05,2027-07-11,2026-01-14,3,0,good,410
INV_0000051,WH_003,WH_003_COOL_157,SKU_00295,BATCH_0000051,2024-09-26,2026-09-26,2024-09-27,167,0,good,122
INV_0000052,WH_003,WH_003_AMBIENT_150,SKU_00290,BATCH_0000052,2025-03-15,2026-08-02,2025-03-19,9,0,good,67
INV_0000053,WH_001,WH_001_AMBIENT_070,SKU_00048,BATCH_0000053,2026-01-22,2027-04-11,2026-01-26,68,0,good,319
INV_0000054,WH_002,WH_002_COOL_053,SKU_00266,BATCH_0000054,2024-12-28,2026-08-26,2025-01-07,27,0,good,91
INV_0000055,WH_003,WH_003_AMBIENT_022,SKU_00248,BATCH_0000055,2025-02-18,2027-05-23,2025-02-23,23,0,good,361
INV_0000056,WH_003,WH_003_COLD_164,SKU_00137,BATCH_0000056,2025-07-23,2026-07-23,2025-07-26,11,0,good,57
INV_0000057,WH_002,WH_002_COLD_160,SKU_00106,BATCH_0000057,2025-12-08,2026-09-15,2025-12-21,7,0,good,111
INV_0000058,WH_003,WH_003_COLD_132,SKU_00271,BATCH_0000058,2026-03-19,2026-09-13,2026-03-29,14,2,good,109
INV_0000059,WH_001,WH_001_COOL_121,SKU_00043,BATCH_0000059,2025-03-13,2027-03-13,2025-03-23,40,0,good,290
INV_0000060,WH_003,WH_003_COLD_063,SKU_00047,BATCH_0000060,2026-02-12,2027-01-03,2026-02-13,4,1,good,221
INV_0000061,WH_003,WH_003_AMBIENT_178,SKU_00061,BATCH_0000061,2024-10-20,2027-03-26,2024-10-28,10,0,good,303
INV_0000062,WH_002,WH_002_COOL_127,SKU_00038,BATCH_0000062,2025-02-10,2026-11-08,2025-02-23,26,0,good,165
INV_0000063,WH_002,WH_002_AMBIENT_008,SKU_00091,BATCH_0000063,2026-03-30,2028-10-30,2026-04-04,24,0,good,887
INV_0000064,WH_001,WH_001_FROZEN_097,SKU_00284,BATCH_0000064,2024-10-16,2026-10-16,2024-10-25,50,0,good,142
INV_0000065,WH_001,WH_001_AMBIENT_189,SKU_00258,BATCH_0000065,2025-05-02,2026-09-11,2025-05-11,20,0,good,107
INV_0000066,WH_003,WH_003_COLD_079,SKU_00037,BATCH_0000066,2026-05-06,2027-05-06,2026-05-17,80,12,good,344
INV_0000067,WH_001,WH_001_AMBIENT_004,SKU_00205,BATCH_0000067,2025-11-01,2026-11-27,2025-11-07,11,0,good,184
INV_0000068,WH_003,WH_003_AMBIENT_121,SKU_00242,BATCH_0000068,2026-03-03,2027-03-03,2026-03-06,19,0,good,280
INV_0000069,WH_002,WH_002_COOL_199,SKU_00021,BATCH_0000069,2025-11-19,2026-09-07,2025-11-30,74,28,good,103
INV_0000070,WH_003,WH_003_AMBIENT_023,SKU_00234,BATCH_0000070,2026-03-05,2027-03-05,2026-03-15,12,3,good,282
INV_0000071,WH_001,WH_001_FROZEN_055,SKU_00032,BATCH_0000071,2025-10-21,2026-07-03,2025-10-26,22,0,good,37
INV_0000072,WH_001,WH_001_AMBIENT_061,SKU_00213,BATCH_0000072,2025-07-26,2027-12-08,2025-08-03,1,0,good,560
INV_0000073,WH_002,WH_002_AMBIENT_005,SKU_00118,BATCH_0000073,2025-10-17,2026-10-17,2025-10-28,33,0,good,143
INV_0000074,WH_002,WH_002_AMBIENT_165,SKU_00285,BATCH_0000074,2026-01-12,2027-01-12,2026-01-22,41,0,good,230
INV_0000075,WH_003,WH_003_COLD_145,SKU_00045,BATCH_0000075,2025-09-26,2026-09-26,2025-10-08,98,18,good,122
INV_0000076,WH_002,WH_002_COLD_126,SKU_00209,BATCH_0000076,2026-04-24,2026-12-03,2026-05-06,22,2,good,190
INV_0000077,WH_003,WH_003_COOL_028,SKU_00162,BATCH_0000077,2025-11-04,2027-11-04,2025-11-07,7,0,good,526
INV_0000078,WH_002,WH_002_AMBIENT_072,SKU_00152,BATCH_0000078,2024-12-11,2026-08-03,2024-12-17,6,0,good,68
INV_0000079,WH_001,WH_001_AMBIENT_195,SKU_00019,BATCH_0000079,2024-08-27,2027-06-12,2024-09-06,20,0,good,381
INV_0000080,WH_002,WH_002_COOL_176,SKU_00093,BATCH_0000080,2024-09-14,2026-09-14,2024-09-24,4,0,good,110
INV_0000081,WH_001,WH_001_COOL_128,SKU_00295,BATCH_0000081,2024-08-21,2026-08-21,2024-08-28,28,0,good,86
INV_0000082,WH_002,WH_002_AMBIENT_053,SKU_00103,BATCH_0000082,2025-09-14,2026-09-14,2025-09-22,12,0,good,110
INV_0000083,WH_003,WH_003_COOL_131,SKU_00253,BATCH_0000083,2025-05-24,2027-05-24,2025-06-02,4,1,good,362
INV_0000084,WH_001,WH_001_COOL_086,SKU_00093,BATCH_0000084,2024-11-19,2026-11-19,2024-11-26,54,0,good,176
INV_0000085,WH_001,WH_001_COLD_157,SKU_00199,BATCH_0000085,2026-03-28,2027-03-28,2026-04-09,16,2,good,305
INV_0000086,WH_002,WH_002_AMBIENT_194,SKU_00048,BATCH_0000086,2026-05-01,2027-07-19,2026-05-13,68,0,good,418
INV_0000087,WH_001,WH_001_AMBIENT_079,SKU_00292,BATCH_0000087,2026-04-27,2027-09-16,2026-05-06,15,0,good,477
INV_0000088,WH_003,WH_003_COOL_192,SKU_00020,BATCH_0000088,2024-12-19,2026-08-29,2024-12-20,9,0,good,94
INV_0000089,WH_003,WH_003_COLD_064,SKU_00182,BATCH_0000089,2026-01-10,2026-09-19,2026-01-20,3,0,good,115
INV_0000090,WH_003,WH_003_AMBIENT_130,SKU_00235,BATCH_0000090,2025-10-22,2026-10-22,2025-10-29,3,0,good,148
INV_0000091,WH_001,WH_001_COOL_048,SKU_00207,BATCH_0000091,2026-05-05,2027-05-11,2026-05-15,107,0,good,349
INV_0000092,WH_003,WH_003_COLD_099,SKU_00209,BATCH_0000092,2026-01-13,2026-08-24,2026-01-22,33,0,good,89
INV_0000093,WH_003,WH_003_COLD_009,SKU_00092,BATCH_0000093,2026-02-03,2027-02-03,2026-02-09,11,0,good,252
INV_0000094,WH_001,WH_001_COOL_090,SKU_00064,BATCH_0000094,2024-10-20,2026-10-20,2024-10-28,8,0,good,146
INV_0000095,WH_002,WH_002_AMBIENT_189,SKU_00170,BATCH_0000095,2025-10-04,2026-10-04,2025-10-08,9,0,good,130
INV_0000096,WH_002,WH_002_COOL_138,SKU_00222,BATCH_0000096,2026-01-25,2026-10-21,2026-01-28,4,1,good,147
INV_0000097,WH_003,WH_003_AMBIENT_146,SKU_00279,BATCH_0000097,2023-12-18,2026-10-16,2023-12-24,142,0,good,142
INV_0000098,WH_003,WH_003_COOL_061,SKU_00222,BATCH_0000098,2026-03-10,2026-12-04,2026-03-14,290,76,good,191
INV_0000099,WH_001,WH_001_AMBIENT_074,SKU_00278,BATCH_0000099,2025-02-28,2027-04-01,2025-03-11,46,1,good,309
INV_0000100,WH_001,WH_001_COLD_161,SKU_00204,BATCH_0000100,2026-01-07,2027-01-02,2026-01-08,49,0,good,220
INV_0000101,WH_001,WH_001_COLD_163,SKU_00096,BATCH_0000101,2025-08-30,2026-08-30,2025-09-08,31,0,good,95
INV_0000102,WH_002,WH_002_COOL_157,SKU_00187,BATCH_0000102,2025-11-05,2027-04-08,2025-11-14,28,7,good,316
INV_0000103,WH_001,WH_001_COLD_125,SKU_00182,BATCH_0000103,2026-05-12,2027-01-19,2026-05-14,49,0,good,237
INV_0000104,WH_001,WH_001_AMBIENT_095,SKU_00163,BATCH_0000104,2026-05-07,2027-11-20,2026-05-13,41,0,good,542
INV_0000105,WH_003,WH_003_AMBIENT_086,SKU_00291,BATCH_0000105,2026-05-20,2027-11-23,2026-05-30,75,24,good,545
INV_0000106,WH_003,WH_003_COOL_197,SKU_00003,BATCH_0000106,2024-11-06,2026-11-06,2024-11-14,42,0,good,163
INV_0000107,WH_001,WH_001_COLD_127,SKU_00029,BATCH_0000107,2025-09-29,2026-09-29,2025-10-08,26,0,good,125
INV_0000108,WH_003,WH_003_COOL_110,SKU_00139,BATCH_0000108,2025-09-25,2027-09-25,2025-10-04,5,0,good,486
INV_0000109,WH_001,WH_001_AMBIENT_149,SKU_00051,BATCH_0000109,2025-06-24,2026-07-11,2025-07-03,42,0,good,45
INV_0000110,WH_003,WH_003_AMBIENT_139,SKU_00288,BATCH_0000110,2024-11-11,2026-12-01,2024-11-16,58,0,good,188
INV_0000111,WH_003,WH_003_AMBIENT_021,SKU_00075,BATCH_0000111,2025-11-01,2026-11-01,2025-11-02,21,3,good,158
INV_0000112,WH_001,WH_001_COOL_071,SKU_00064,BATCH_0000112,2025-04-29,2027-04-29,2025-05-02,21,0,good,337
INV_0000113,WH_002,WH_002_AMBIENT_175,SKU_00242,BATCH_0000113,2025-12-30,2026-12-30,2026-01-12,23,1,good,217
INV_0000114,WH_003,WH_003_AMBIENT_040,SKU_00268,BATCH_0000114,2025-09-06,2026-09-06,2025-09-19,12,0,good,102
INV_0000115,WH_002,WH_002_AMBIENT_013,SKU_00094,BATCH_0000115,2026-02-04,2028-04-28,2026-02-12,31,0,good,702
INV_0000116,WH_003,WH_003_AMBIENT_148,SKU_00150,BATCH_0000116,2026-05-15,2027-07-31,2026-05-21,13,2,good,430
INV_0000117,WH_003,WH_003_COOL_174,SKU_00144,BATCH_0000117,2025-03-26,2027-03-17,2025-03-29,32,10,good,294
INV_0000118,WH_003,WH_003_AMBIENT_037,SKU_00179,BATCH_0000118,2025-08-06,2026-08-06,2025-08-15,7,0,good,71
INV_0000119,WH_003,WH_003_AMBIENT_117,SKU_00095,BATCH_0000119,2026-04-10,2028-07-28,2026-04-15,30,0,good,793
INV_0000120,WH_003,WH_003_COOL_098,SKU_00011,BATCH_0000120,2026-04-11,2028-04-10,2026-04-14,25,4,good,684
INV_0000121,WH_002,WH_002_FROZEN_138,SKU_00216,BATCH_0000121,2026-04-12,2028-02-15,2026-04-18,29,0,good,629
INV_0000122,WH_003,WH_003_COLD_192,SKU_00110,BATCH_0000122,2026-03-29,2026-11-06,2026-04-02,19,1,good,163
INV_0000123,WH_001,WH_001_AMBIENT_013,SKU_00125,BATCH_0000123,2026-05-07,2027-05-07,2026-05-10,12,0,good,345
INV_0000124,WH_003,WH_003_AMBIENT_130,SKU_00278,BATCH_0000124,2024-11-05,2026-12-07,2024-11-15,29,0,good,194
INV_0000125,WH_002,WH_002_FROZEN_010,SKU_00192,BATCH_0000125,2026-02-06,2026-10-06,2026-02-08,3,0,good,132
INV_0000126,WH_001,WH_001_COLD_057,SKU_00065,BATCH_0000126,2026-03-09,2026-07-11,2026-03-13,51,0,good,45
INV_0000127,WH_002,WH_002_COOL_176,SKU_00089,BATCH_0000127,2025-10-15,2027-01-13,2025-10-28,5,0,good,231
INV_0000128,WH_001,WH_001_FROZEN_137,SKU_00032,BATCH_0000128,2025-10-24,2026-07-06,2025-10-25,40,0,good,40
INV_0000129,WH_001,WH_001_COOL_191,SKU_00208,BATCH_0000129,2025-05-25,2027-05-25,2025-06-03,7,0,good,363
INV_0000130,WH_003,WH_003_COOL_196,SKU_00295,BATCH_0000130,2025-08-27,2027-08-27,2025-09-03,29,0,good,457
INV_0000131,WH_001,WH_001_COLD_134,SKU_00229,BATCH_0000131,2025-11-22,2026-11-22,2025-11-30,240,47,good,179
INV_0000132,WH_001,WH_001_AMBIENT_187,SKU_00160,BATCH_0000132,2026-02-28,2028-01-27,2026-03-08,15,1,good,610
INV_0000133,WH_003,WH_003_COLD_150,SKU_00237,BATCH_0000133,2025-11-10,2026-11-10,2025-11-18,1,0,good,167
INV_0000134,WH_003,WH_003_COLD_187,SKU_00256,BATCH_0000134,2026-02-06,2027-02-06,2026-02-16,61,0,good,255
INV_0000135,WH_001,WH_001_AMBIENT_052,SKU_00190,BATCH_0000135,2025-05-19,2027-01-26,2025-05-22,30,2,good,244
INV_0000136,WH_001,WH_001_COLD_127,SKU_00045,BATCH_0000136,2025-11-11,2026-11-11,2025-11-12,13,0,good,168
INV_0000137,WH_001,WH_001_COOL_152,SKU_00273,BATCH_0000137,2025-09-13,2027-04-23,2025-09-25,9,0,good,331
INV_0000138,WH_003,WH_003_COLD_156,SKU_00229,BATCH_0000138,2025-09-20,2026-09-20,2025-09-23,8,0,good,116
INV_0000139,WH_002,WH_002_AMBIENT_103,SKU_00286,BATCH_0000139,2024-10-27,2026-09-13,2024-11-01,15,0,good,109
INV_0000140,WH_002,WH_002_COLD_112,SKU_00149,BATCH_0000140,2026-04-13,2026-09-05,2026-04-20,185,0,good,101
INV_0000141,WH_001,WH_001_AMBIENT_108,SKU_00180,BATCH_0000141,2025-12-14,2026-12-14,2025-12-15,21,0,good,201
INV_0000142,WH_002,WH_002_AMBIENT_044,SKU_00001,BATCH_0000142,2026-05-14,2027-12-14,2026-05-20,10,0,good,566
INV_0000143,WH_001,WH_001_COLD_185,SKU_00237,BATCH_0000143,2026-03-26,2027-03-26,2026-04-07,57,0,good,303
INV_0000144,WH_003,WH_003_FROZEN_095,SKU_00171,BATCH_0000144,2025-01-19,2026-12-30,2025-01-23,129,0,good,217
INV_0000145,WH_001,WH_001_AMBIENT_134,SKU_00056,BATCH_0000145,2026-01-01,2027-03-22,2026-01-06,11,0,good,299
INV_0000146,WH_003,WH_003_COOL_088,SKU_00139,BATCH_0000146,2026-05-08,2028-05-07,2026-05-21,131,0,good,711
INV_0000147,WH_003,WH_003_AMBIENT_017,SKU_00156,BATCH_0000147,2024-12-22,2027-05-27,2024-12-25,57,0,good,365
INV_0000148,WH_002,WH_002_AMBIENT_177,SKU_00218,BATCH_0000148,2025-11-11,2027-12-29,2025-11-24,3,0,good,581
INV_0000149,WH_001,WH_001_COLD_188,SKU_00228,BATCH_0000149,2025-09-01,2026-06-29,2025-09-06,9,0,good,33
INV_0000150,WH_001,WH_001_COOL_048,SKU_00210,BATCH_0000150,2024-11-25,2026-11-25,2024-12-08,14,1,good,182
INV_0000151,WH_002,WH_002_COLD_111,SKU_00137,BATCH_0000151,2026-04-04,2027-04-04,2026-04-12,19,3,good,312
INV_0000152,WH_002,WH_002_AMBIENT_026,SKU_00073,BATCH_0000152,2025-10-27,2026-10-27,2025-10-31,0,0,good,153
INV_0000153,WH_003,WH_003_AMBIENT_113,SKU_00283,BATCH_0000153,2026-05-25,2027-05-25,2026-05-28,6,0,good,363
INV_0000154,WH_003,WH_003_COOL_132,SKU_00140,BATCH_0000154,2026-03-09,2026-12-15,2026-03-18,154,9,good,202
INV_0000155,WH_002,WH_002_COLD_084,SKU_00149,BATCH_0000155,2026-02-08,2026-07-03,2026-02-10,23,3,good,37
INV_0000156,WH_002,WH_002_AMBIENT_021,SKU_00025,BATCH_0000156,2025-11-17,2026-11-17,2025-11-23,156,0,good,174
INV_0000157,WH_003,WH_003_COOL_108,SKU_00112,BATCH_0000157,2025-01-31,2027-01-31,2025-02-09,198,0,good,249
INV_0000158,WH_002,WH_002_COOL_089,SKU_00138,BATCH_0000158,2024-10-28,2026-09-07,2024-10-30,41,12,good,103
INV_0000159,WH_002,WH_002_COLD_181,SKU_00237,BATCH_0000159,2025-12-26,2026-12-26,2025-12-28,24,0,good,213
INV_0000160,WH_003,WH_003_AMBIENT_011,SKU_00030,BATCH_0000160,2025-04-09,2027-08-20,2025-04-11,7,1,good,450
INV_0000161,WH_003,WH_003_COOL_122,SKU_00220,BATCH_0000161,2025-12-05,2026-08-05,2025-12-06,8,0,good,70
INV_0000162,WH_001,WH_001_AMBIENT_129,SKU_00076,BATCH_0000162,2025-07-01,2027-09-10,2025-07-04,49,0,good,471
INV_0000163,WH_001,WH_001_COLD_191,SKU_00249,BATCH_0000163,2025-11-01,2026-10-01,2025-11-13,14,0,good,127
INV_0000164,WH_002,WH_002_COOL_017,SKU_00175,BATCH_0000164,2026-02-13,2027-01-30,2026-02-16,20,3,good,248
INV_0000165,WH_002,WH_002_AMBIENT_163,SKU_00262,BATCH_0000165,2026-02-05,2027-08-18,2026-02-10,35,0,good,448
INV_0000166,WH_001,WH_001_COOL_163,SKU_00245,BATCH_0000166,2026-05-20,2027-10-15,2026-05-29,30,4,good,506
INV_0000167,WH_002,WH_002_AMBIENT_047,SKU_00026,BATCH_0000167,2025-09-23,2027-04-21,2025-09-29,34,0,good,329
INV_0000168,WH_001,WH_001_COLD_014,SKU_00249,BATCH_0000168,2025-09-16,2026-08-16,2025-09-19,6,0,good,81
INV_0000169,WH_003,WH_003_AMBIENT_163,SKU_00239,BATCH_0000169,2026-05-02,2027-05-02,2026-05-07,1,0,good,340
INV_0000170,WH_001,WH_001_COOL_071,SKU_00145,BATCH_0000170,2026-02-07,2027-05-31,2026-02-09,79,0,good,369
INV_0000171,WH_001,WH_001_COOL_142,SKU_00128,BATCH_0000171,2025-11-26,2027-11-26,2025-11-29,26,9,good,548
INV_0000172,WH_001,WH_001_FROZEN_096,SKU_00284,BATCH_0000172,2024-10-27,2026-10-27,2024-11-04,2,0,good,153
INV_0000173,WH_003,WH_003_AMBIENT_045,SKU_00159,BATCH_0000173,2025-08-26,2026-08-26,2025-08-27,1,0,good,91
INV_0000174,WH_003,WH_003_AMBIENT_146,SKU_00286,BATCH_0000174,2026-05-01,2028-03-17,2026-05-12,9,0,good,660
INV_0000175,WH_002,WH_002_FROZEN_126,SKU_00171,BATCH_0000175,2026-02-23,2028-02-03,2026-03-06,84,0,good,617
INV_0000176,WH_001,WH_001_COOL_032,SKU_00006,BATCH_0000176,2025-08-16,2027-08-16,2025-08-20,23,0,good,446
INV_0000177,WH_001,WH_001_COLD_006,SKU_00229,BATCH_0000177,2026-02-10,2027-02-10,2026-02-11,122,0,good,259
INV_0000178,WH_002,WH_002_AMBIENT_022,SKU_00291,BATCH_0000178,2026-03-23,2027-09-26,2026-03-28,8,0,good,487
INV_0000179,WH_001,WH_001_COLD_003,SKU_00251,BATCH_0000179,2025-07-04,2026-07-04,2025-07-07,1,0,good,38
INV_0000180,WH_001,WH_001_AMBIENT_083,SKU_00279,BATCH_0000180,2024-02-23,2026-12-22,2024-02-29,3,0,good,209
INV_0000181,WH_003,WH_003_AMBIENT_025,SKU_00030,BATCH_0000181,2026-01-23,2028-06-04,2026-01-26,120,0,good,739
INV_0000182,WH_001,WH_001_AMBIENT_119,SKU_00094,BATCH_0000182,2024-10-15,2027-01-07,2024-10-16,10,1,good,225
INV_0000183,WH_002,WH_002_COOL_011,SKU_00099,BATCH_0000183,2025-04-28,2026-10-08,2025-05-11,5,0,good,134
INV_0000184,WH_001,WH_001_COOL_054,SKU_00298,BATCH_0000184,2026-03-19,2027-03-15,2026-03-25,5,1,good,292
INV_0000185,WH_003,WH_003_COOL_006,SKU_00144,BATCH_0000185,2025-01-05,2026-12-27,2025-01-10,53,0,good,214
INV_0000186,WH_003,WH_003_AMBIENT_130,SKU_00246,BATCH_0000186,2026-05-01,2027-08-22,2026-05-08,5,0,good,452
INV_0000187,WH_003,WH_003_AMBIENT_111,SKU_00191,BATCH_0000187,2025-03-23,2027-10-11,2025-03-26,15,1,good,502
INV_0000188,WH_001,WH_001_AMBIENT_008,SKU_00292,BATCH_0000188,2025-03-29,2026-08-18,2025-03-31,7,0,good,83
INV_0000189,WH_001,WH_001_COOL_076,SKU_00175,BATCH_0000189,2026-02-26,2027-02-12,2026-03-02,86,0,good,261
INV_0000190,WH_001,WH_001_COOL_029,SKU_00293,BATCH_0000190,2025-10-20,2027-10-20,2025-10-26,4,0,good,511
INV_0000191,WH_003,WH_003_COLD_021,SKU_00106,BATCH_0000191,2025-11-05,2026-08-13,2025-11-15,15,1,good,78
INV_0000192,WH_002,WH_002_COOL_016,SKU_00224,BATCH_0000192,2026-03-24,2027-05-14,2026-04-04,16,0,good,352
INV_0000193,WH_003,WH_003_AMBIENT_141,SKU_00034,BATCH_0000193,2026-02-23,2027-04-20,2026-03-08,4,0,good,328
INV_0000194,WH_001,WH_001_COLD_147,SKU_00231,BATCH_0000194,2025-10-27,2026-10-27,2025-11-08,4,0,good,153
INV_0000195,WH_001,WH_001_AMBIENT_132,SKU_00288,BATCH_0000195,2026-03-17,2028-04-05,2026-03-18,35,0,good,679
INV_0000196,WH_002,WH_002_COOL_042,SKU_00077,BATCH_0000196,2025-12-12,2027-01-31,2025-12-19,232,12,good,249
INV_0000197,WH_003,WH_003_AMBIENT_185,SKU_00163,BATCH_0000197,2025-09-13,2027-03-29,2025-09-22,2,0,good,306
INV_0000198,WH_001,WH_001_COOL_016,SKU_00144,BATCH_0000198,2026-01-17,2028-01-08,2026-01-30,1,0,good,591
INV_0000199,WH_001,WH_001_AMBIENT_071,SKU_00004,BATCH_0000199,2026-05-20,2027-10-25,2026-05-31,33,11,good,516
